name,latitude,longitude,altitud,ASL
waypoint 0,36.786561,-4.269465,50,606.451172
waypoint 1,36.785032,-4.268639,100,537.677002
waypoint 2,36.78437,-4.268435,100,508.675812
waypoint 3,36.783837,-4.268274,100,488.563141
waypoint 4,36.783365,-4.268135,100,474.840149
waypoint 5,36.782901,-4.267931,100,464.949036
waypoint 6,36.782703,-4.26733,100,473.284912
waypoint 7,36.78266,-4.266665,100,484.778534
waypoint 8,36.782866,-4.266236,100,495.128571
waypoint 9,36.783253,-4.266129,100,506.901154
waypoint 10,36.783648,-4.266161,100,519.177734
waypoint 11,36.78431,-4.266579,100,537.714111
waypoint 12,36.784679,-4.266912,100,542.530212
waypoint 13,36.785006,-4.267073,100,548.660095
waypoint 14,36.785341,-4.267073,100,561.238281
waypoint 15,36.785599,-4.26689,100,575.917847
waypoint 16,36.785908,-4.266644,100,593.396545
waypoint 17,36.786252,-4.266279,100,611.177551
waypoint 18,36.78669,-4.26571,100,626.742493
waypoint 19,36.78687,-4.265517,100,630.811768
