longitude,latitude,altitud
-1.87673201,39.02520401,10.0168
-1.87593201,39.02600401,10.0176
-1.87513201,39.02680401,10.0184
-1.87433201,39.02760401,10.0192
-1.87353201,39.02840401,10.02
-1.87273201,39.02920401,10.0208
-1.87193201,39.03000401,10.0216
-1.87113201,39.03080401,10.0224
-1.87033201,39.03160401,10.0232
-1.86953201,39.03240401,10.024
-1.86873201,39.03320401,10.0248
-1.86793201,39.03400401,10.0256
-1.86713201,39.03480401,10.0264
-1.86633201,39.03560401,10.0272
-1.86553201,39.03640401,10.028
-1.86473201,39.03720401,10.0288
-1.86393201,39.03800401,10.0296
-1.86313201,39.03880401,10.0304
-1.86233201,39.03960401,10.0312
-1.86153201,39.04040401,10.032
-1.86073201,39.04120401,10.0328
-1.85993201,39.04200401,10.0336
-1.85913201,39.04280401,10.0344
-1.85833201,39.04360401,10.0352
-1.85753201,39.04440401,10.036
-1.85673201,39.04520401,10.0368
-1.85593201,39.04600401,10.0376
-1.85513201,39.04680401,10.0384
-1.85433201,39.04760401,10.0392
-1.85353201,39.04840401,10.04
-1.85273201,39.04920401,10.0408
-1.85193201,39.05000401,10.0416
-1.85113201,39.05080401,10.0424
-1.85033201,39.05160401,10.0432
-1.84953201,39.05240401,10.044
-1.84873201,39.05320401,10.0448
-1.84793201,39.05400401,10.0456
-1.84713201,39.05480401,10.0464
-1.84633201,39.05560401,10.0472
-1.84553201,39.05640401,10.048
-1.84473201,39.05720401,10.0488
-1.84393201,39.05800401,10.0496
-1.84313201,39.05880401,10.0504
-1.84233201,39.05960401,10.0512
-1.84153201,39.06040401,10.052
-1.84073201,39.06120401,10.0528
-1.83993201,39.06200401,10.0536
-1.83913201,39.06280401,10.0544
-1.83833201,39.06360401,10.0552
-1.83753201,39.06440401,10.056
-1.83673201,39.06520401,10.0568
-1.83593201,39.06600401,10.0576
-1.83513201,39.06680401,10.0584
-1.83433201,39.06760401,10.0592
-1.83353201,39.06840401,10.06
-1.83273201,39.06920401,10.0608
-1.83193201,39.07000401,10.0616
-1.83113201,39.07080401,10.0624
-1.83033201,39.07160401,10.0632
-1.82953201,39.07240401,10.064
-1.82873201,39.07320401,10.0648
-1.82793201,39.07400401,10.0656
-1.82713201,39.07480401,10.0664
-1.82633201,39.07560401,10.0672
-1.82553201,39.07640401,10.068
-1.82473201,39.07720401,10.0688
-1.82393201,39.07800401,10.0696
-1.82313201,39.07880401,10.0704
-1.82233201,39.07960401,10.0712
-1.82153201,39.08040401,10.072
-1.82073201,39.08120401,10.0728
-1.81993201,39.08200401,10.0736
-1.81913201,39.08280401,10.0744
-1.81833201,39.08360401,10.0752
-1.81753201,39.08440401,10.076
-1.81673201,39.08520401,10.0768
-1.81593201,39.08600401,10.0776
-1.81513201,39.08680401,10.0784
-1.81433201,39.08760401,10.0792
-1.81353201,39.08840401,10.08
-1.81273201,39.08920401,10.0808
-1.81193201,39.09000401,10.0816
-1.81113201,39.09080401,10.0824
-1.81033201,39.09160401,10.0832
-1.80953201,39.09240401,10.084
-1.80873201,39.09320401,10.0848
-1.80793201,39.09400401,10.0856
-1.80713201,39.09480401,10.0864
-1.80633201,39.09560401,10.0872
-1.80553201,39.09640401,10.088
-1.80473201,39.09720401,10.0888
-1.80393201,39.09800401,10.0896
-1.80313201,39.09880401,10.0904
-1.80233201,39.09960401,10.0912
-1.80153201,39.10040401,10.092
-1.80073201,39.10120401,10.0928
-1.79993201,39.10200401,10.0936
-1.79913201,39.10280401,10.0944
-1.79833201,39.10360401,10.0952
-1.79753201,39.10440401,10.096
-1.79673201,39.10520401,10.0968
-1.79593201,39.10600401,10.0976
-1.79513201,39.10680401,10.0984
-1.79433201,39.10760401,10.0992
-1.79353201,39.10840401,10.1
-1.79273201,39.10920401,10.1008
-1.79193201,39.11000401,10.1016
-1.79113201,39.11080401,10.1024
-1.79033201,39.11160401,10.1032
-1.78953201,39.11240401,10.104
-1.78873201,39.11320401,10.1048
-1.78793201,39.11400401,10.1056
-1.78713201,39.11480401,10.1064
-1.78633201,39.11560401,10.1072
-1.78553201,39.11640401,10.108
-1.78473201,39.11720401,10.1088
-1.78393201,39.11800401,10.1096
-1.78313201,39.11880401,10.1104
-1.78233201,39.11960401,10.1112
-1.78153201,39.12040401,10.112
-1.78073201,39.12120401,10.1128
-1.77993201,39.12200401,10.1136
-1.77913201,39.12280401,10.1144
-1.77833201,39.12360401,10.1152
-1.77753201,39.12440401,10.116
-1.77673201,39.12520401,10.1168
-1.77593201,39.12600401,10.1176
-1.77513201,39.12680401,10.1184
-1.77433201,39.12760401,10.1192
-1.77353201,39.12840401,10.12
-1.77273201,39.12920401,10.1208
-1.77193201,39.13000401,10.1216
-1.77113201,39.13080401,10.1224
-1.77033201,39.13160401,10.1232
-1.76953201,39.13240401,10.124
-1.76873201,39.13320401,10.1248
-1.76793201,39.13400401,10.1256
-1.76713201,39.13480401,10.1264
-1.76633201,39.13560401,10.1272
-1.76553201,39.13640401,10.128
-1.76473201,39.13720401,10.1288
-1.76393201,39.13800401,10.1296
-1.76313201,39.13880401,10.1304
-1.76233201,39.13960401,10.1312
-1.76153201,39.14040401,10.132
-1.76073201,39.14120401,10.1328
-1.75993201,39.14200401,10.1336
-1.75913201,39.14280401,10.1344
-1.75833201,39.14360401,10.1352
-1.75753201,39.14440401,10.136
-1.75673201,39.14520401,10.1368
-1.75593201,39.14600401,10.1376
-1.75513201,39.14680401,10.1384
-1.75433201,39.14760401,10.1392
-1.75353201,39.14840401,10.14
-1.75273201,39.14920401,10.1408
-1.75193201,39.15000401,10.1416
-1.75113201,39.15080401,10.1424
-1.75033201,39.15160401,10.1432
-1.74953201,39.15240401,10.144
-1.74873201,39.15320401,10.1448
-1.74793201,39.15400401,10.1456
-1.74713201,39.15480401,10.1464
-1.74633201,39.15560401,10.1472
-1.74553201,39.15640401,10.148
-1.74473201,39.15720401,10.1488
-1.74393201,39.15800401,10.1496
-1.74313201,39.15880401,10.1504
-1.74233201,39.15960401,10.1512
-1.74153201,39.16040401,10.152
-1.74073201,39.16120401,10.1528
-1.73993201,39.16200401,10.1536
-1.73913201,39.16280401,10.1544
-1.73833201,39.16360401,10.1552
-1.73753201,39.16440401,10.156
-1.73673201,39.16520401,10.1568
-1.73593201,39.16600401,10.1576
-1.73513201,39.16680401,10.1584
-1.73433201,39.16760401,10.1592
-1.73353201,39.16840401,10.16
-1.73273201,39.16920401,10.1608
-1.73193201,39.17000401,10.1616
-1.73113201,39.17080401,10.1624
-1.73033201,39.17160401,10.1632
-1.72953201,39.17240401,10.164
-1.72873201,39.17320401,10.1648
-1.72793201,39.17400401,10.1656
-1.72713201,39.17480401,10.1664
-1.72633201,39.17560401,10.1672
-1.72553201,39.17640401,10.168
-1.72473201,39.17720401,10.1688
-1.72393201,39.17800401,10.1696
-1.72313201,39.17880401,10.1704
-1.72233201,39.17960401,10.1712
-1.72153201,39.18040401,10.172
-1.72073201,39.18120401,10.1728
-1.71993201,39.18200401,10.1736
-1.71913201,39.18280401,10.1744
-1.71833201,39.18360401,10.1752
-1.71753201,39.18440401,10.176
-1.71673201,39.18520401,10.1768
-1.71593201,39.18600401,10.1776
-1.71513201,39.18680401,10.1784
-1.71433201,39.18760401,10.1792
-1.71353201,39.18840401,10.18
-1.71273201,39.18920401,10.1808
-1.71193201,39.19000401,10.1816
-1.71113201,39.19080401,10.1824
-1.71033201,39.19160401,10.1832
-1.70953201,39.19240401,10.184
-1.70873201,39.19320401,10.1848
-1.70793201,39.19400401,10.1856
-1.70713201,39.19480401,10.1864
-1.70633201,39.19560401,10.1872
-1.70553201,39.19640401,10.188
-1.70473201,39.19720401,10.1888
