name,longitude,latitude,altitud
waypoint 0,-2.523594,39.334982,100
waypoint 1,-2.523594,39.33453,100
waypoint 2,-2.523331,39.334302,100
waypoint 3,-2.523433,39.335131,100
waypoint 4,-2.523229,39.335173,100
waypoint 5,-2.523133,39.333982,100
waypoint 6,-2.522929,39.334177,100
waypoint 7,-2.523057,39.335447,100
waypoint 8,-2.52287,39.335484,100
waypoint 9,-2.522757,39.33431,100
waypoint 10,-2.52258,39.33448,100
waypoint 11,-2.522693,39.33575,100
waypoint 12,-2.52251,39.335795,100
waypoint 13,-2.522392,39.334588,100
waypoint 14,-2.522199,39.334829,100
waypoint 15,-2.522344,39.33609,100
waypoint 16,-2.522135,39.33614,100
waypoint 17,-2.522044,39.334965,100
waypoint 18,-2.52184,39.335148,100
waypoint 19,-2.521968,39.336397,100
waypoint 20,-2.521765,39.33643,100
waypoint 21,-2.521657,39.335231,100
