name,latitude,longitude
Fernandina,38.886019,-6.338150
Montesol,40.690997,-0.900944
Lingue,-33.383297,-71.391944
Litre,-33.391122,-71.445386
Llayllay,-32.848958,-70.957219
Torrijos,40.019531,-4.259789
Campanario 1,38.894360,-1.326880
Campanario 2,38.924450,-1.317540
Campanario 3,38.918390,-1.326250
Campanario 4,38.912010,-1.336620
Campanario 5,38.910240,-1.316200
Seat,41.495139,1.901917
Llano de la Victoria,37.469778,-3.289639
Olivar Solar II,37.617167,-4.288500
Calasparra,38.258639,-1.681944
La Robla-Tequi 3,42.696917,-5.588583
La Robla-Tequi 5,42.696917,-5.588583
La Mudarra,41.796306,-4.966472
Tejeda,39.951389,-5.876667
Villanueva de Alcardete,39.693861,-2.988722
Las Palomas,37.089333,-4.462167
Aeropuerto Corvera 1,37.810930,-1.128040
Aeropuerto Corvera 2,37.808030,-1.131720
Albaida,38.858611,-0.520778
Alfamén 2,41.442472,-1.236833
Alfarrasí,38.906650,-0.508939
Almusafes,39.312264,-0.419175
Banyeres,38.720517,-0.665572
Bellvis,41.674586,0.800781
Bellvis II,41.672258,0.807725
Catadau,39.246556,-0.569389
Caudete,39.543417,-1.297333
Corvera,37.817333,-1.153047
Cubla,37.832417,-3.778250
Daganzo,40.536130,-3.467700
Peral 2,38.956936,-2.045481
Puig,39.586592,-0.288364
Formiñena,41.959414,-0.531122
Garcia,39.149510,-2.260190
Golf,42.566489,-5.748203
Griñon,40.206669,-3.833886
La Herrera,38.956292,-2.106183
Isona 1,42.141000,0.966000
Isona 2,42.134519,0.993200
Isona 3,42.133872,1.000836
Jumilla,38.471194,-1.422472
La Herrera 4MW,38.956794,-2.106792
Portella,41.740278,0.642222
Aielo,38.885131,-0.344922
Vall d'Uixo,39.823064,-0.248608
Jaras,39.369806,-1.886056
Linares,38.093617,-3.703731
Linyola,41.707739,0.888492
Lorca 1,37.762003,-1.740872
Hinojosos,39.622758,-2.814117
Lupiñen,42.192639,-0.578556
Malagon,39.261267,-4.086086
Meco,40.533672,-3.316189
Minaya,39.258333,-2.315833
Miralcamp,41.582642,0.885294
Miras,37.761817,-1.718842
Muchamiel,38.430017,-0.447533
Noblejas,39.950322,-3.421283
Olleria,38.928528,-0.507417
Olmeda,40.318492,-2.477131
Olmedilla (Sonnedix),39.615150,-2.090753
Onda,39.950331,-0.191897
Palau I,41.659002,0.858433
Palau II,41.648892,0.847089
Portichuelo,39.685417,-0.847556
Pozohondo,38.714861,-1.885667
PuigGros,41.559014,0.888278
Romica,39.041111,-1.809333
Sara,39.146560,-2.259230
Solluz,37.540528,-1.703972
Tiesas,39.049750,-2.070250
Torregrosa,41.588008,0.750517
Torres del Segre 1,41.514121,0.539499
Torres del Segre 2,41.559167,0.509444
Totana 1,37.767320,-1.442390
Tres Pinos,38.207540,-1.252170
Vic,41.947403,2.265883
Vila Real,39.946944,-0.137222
Vilalba,41.123611,0.373222
Vilanova del Camí,41.571111,1.656944
Villacarrillo,38.139306,-3.164917
Villanueva de Córdoba,38.324436,-4.640628
Villarrubia,39.200314,-3.613811
Villena 1,38.656083,-0.909597
Warner,40.233631,-3.592711
Yecla,38.582689,-1.076211
Paradise Park,18.227361,-78.104708
Brazatortas,38.662378,-4.262308
Madridejos,39.491672,-3.534597
Chozas,42.486800,-5.626422
Lorca 2 Eroski,37.678953,-1.690900
Masnou,41.486020,2.334120
Miramundo,36.519269,-6.125428
Sol de los Andes,-26.315006,-69.926661
Huatacondo,-21.134739,-69.467272
Casablanca,41.637820,-0.916350
Viso del Marqués,38.517044,-3.519167
Gótica,41.745742,0.678189
Maials,41.370697,0.499344
Écija,37.502494,-5.170719
Botarell,41.153761,0.999294
F40,41.331560,2.123960
Citrisafor,38.891370,-0.206510
Tecade,37.152840,-5.730160
Vallcompanys,41.534525,2.267028
Farguell,41.579140,2.538890
GMF,41.168470,1.176480
Sumarroca,41.428170,1.829740
Tremp Juncar,42.163100,0.889870
Tremp Casal,42.165070,0.892120
Duanera,41.323630,2.129300
Albatera,38.167539,-0.885894
La Boella,41.133322,1.169214
Av. Roma,41.381600,2.145169
Sax,38.525731,-0.806969
CLD,41.347431,2.125125
Albacete I,38.947672,-1.955053
